更新日,銘柄コード,銘柄名称,銘柄略称,英文商号,国内外区分,国名,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日,設立日,本社所在地,決算期/決算期1,中間決算期/決算期2,変則決算期
2025-08-20,268A.T,リガク・ホールディングス,リガク,Rigaku Holdings Corporation,国内,,株式,プライム,精密機器,100,2024-10-25,,2020-12-07,東京都,12月31日,06月30日,
2025-08-20,266A.T,グローカルマーケティング,Ｐ−グローカルマーケ,"Glocal Marketing Co.,Ltd.",国内,,株式,TOKYO PRO Market,サービス業,100,2024-10-25,,2020-09-01,新潟県,03月31日,09月30日,
2025-08-20,366A.T,ウェルネス・コミュニケーションズ,Ｇ−ウェルネスＣ,Wellness Communications Corporation,国内,,株式,グロース,サービス業,100,2025-06-23,,2006-07-03,東京都,03月31日,09月30日,
2025-08-20,1554.T,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,上場ＭＳ世,Listed Index Fund World Equity (MSCI ACWI) ex Japan,国内,,ETF,その他,,1,2011-03-08,,,,01月20日,,
2025-08-20,1555.T,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ−ＲＥＩＴ）,上場Ａリート,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),国内,,ETF,その他,,1,2011-03-09,,,,01月10日,07月10日,
2025-08-20,1557.T,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ＳＰＤＲ５００,SPDR S&P500 ETF Trust,国外,アメリカ合衆国,ETF,その他,,1,2011-03-24,,,,09月30日,03月31日,
2025-08-20,3245.T,ディア・ライフ,ディア・ライフ,"DEAR LIFE CO.,LTD.",国内,,株式,プライム,不動産業,100,2007-08-02,,2004-11-01,東京都,09月30日,03月31日,
2025-08-20,3246.T,コーセーアールイー,コーセーアールイー,"KOSE R.E. Co.,Ltd.",国内,,株式,スタンダード,不動産業,100,2013-07-16,,1990-12-10,福岡県,01月31日,07月31日,
2025-08-20,3248.T,アールエイジ,アールエイジ,"EARLY AGE CO.,Ltd.",国内,,株式,スタンダード,不動産業,100,2007-10-15,,1986-11-11,東京都,10月31日,04月30日,
2025-08-20,3249.T,産業ファンド投資法人,Ｒ−産業ファ,Industrial & Infrastructure Fund Investment Corporation,国内,,REIT,その他,,1,2007-10-18,,2007-03-26,東京都,01月31日,07月31日,
2025-08-20,3252.T,地主,地主,"JINUSHI Co.,Ltd.",国内,,株式,プライム,不動産業,100,2014-12-26,,2000-04-07,東京都,12月31日,06月30日,
2025-08-20,3254.T,プレサンスコーポレーション,プレサンス,PRESSANCE CORPORATION,国内,,株式,上場廃止,不動産業,100,2007-12-20,2025-03-28,1997-10-01,大阪府,09月30日,03月31日,
2025-08-20,3261.T,グランディーズ,Ｇ−グラン,"GRANDES,Inc.",国内,,株式,グロース,不動産業,100,2014-12-22,,2006-11-22,大分県,12月31日,06月30日,
2025-08-20,3264.T,アスコット,アスコット,Ascot Corp.,国内,,株式,上場廃止,不動産業,100,2013-07-16,2025-04-25,1999-04-20,東京都,09月30日,03月31日,
2025-08-20,3266.T,ファンドクリエーショングループ,ファンドクリＧ,"Fund Creation Group Co.,Ltd.",国内,,株式,スタンダード,不動産業,100,2013-07-16,,2009-05-01,東京都,11月30日,05月31日,
2025-08-20,3267.T,フィル・カンパニー,フィル・カンパニー,"Phil Company,Inc.",国内,,株式,スタンダード,建設業,100,2016-11-18,,2005-06-03,東京都,11月30日,05月31日,
2025-08-20,3269.T,アドバンス・レジデンス投資法人,Ｒ−ＡＤＲ,Advance Residence Investment Corporation,国内,,REIT,その他,,1,2010-03-02,,2010-03-01,東京都,01月31日,07月31日,
2025-08-20,3271.T,ＴＨＥグローバル社,グロバル社,The Global Ltd.,国内,,株式,スタンダード,不動産業,100,2012-09-06,,2010-07-01,東京都,06月30日,12月31日,
2025-08-20,3275.T,ハウスコム,ハウスコム,HOUSECOM CORPORATION,国内,,株式,上場廃止,不動産業,100,2013-07-16,2025-01-30,1998-07-01,東京都,03月31日,09月30日,
2025-08-20,3276.T,ＪＰＭＣ,ＪＰＭＣ,"Japan Property Management Center Co.,Ltd.",国内,,株式,プライム,不動産業,100,2012-12-07,,2002-06-07,東京都,12月31日,06月30日,
